year,title,authors,venue,pdf_url,pdf_file,size_bytes
2016,Understanding the Impact of AP Density on WiFi Performance Through Real-World Deployment,"Kaixin Sui, Siqi Sun, Yousef Azzabi, Xiaoping Zhang, Youjian Zhao, Jilong Wang, Zimu Li, Dan Pei LANMAN 2016 , Rome, Italy, June 2016",,/wp-content/uploads/2015/11/lanman16-sui.pdf,lanman16-sui.pdf,280192
2016,MobiCamp: a Campus-wide Testbed for Studying Mobile Physical Activities,"Mengyu Zhou, Kaixin Sui, Minghua Ma, Youjian Zhao, Dan Pei, Thomas Moscibroda WPA 2016 , Singapore, June 2016",,/wp-content/uploads/2016/05/wpa16-zhou.pdf,wpa16-zhou.pdf,609160
2016,Mining Causality Graph For Automatic Web-based Service Diagnosis,"Xiaohui Nie, Youjian Zhao, Kaixin Sui, Dan Pei, Yu Chen, Xianping Qu IPCCC 2016 , Las Vegas, Nevada, USA, Dec 2016",,/wp-content/uploads/2016/11/mining-causality-niexiaohui.pdf,mining-causality-niexiaohui.pdf,945874
2016,M3: Practical and Reliable Multi-Layer Video Multicast over Multi-Rate Wi-Fi Network,"Menghan Li, Dan Pei, Xiaoping Zhang, Beichuan Zhang, Zhi Wang, Hailiang Xu, Zihan Wang IWQoS 2016 , Beijing, China, June 2016",,/wp-content/uploads/2015/11/iwqos16-li.pdf,iwqos16-li.pdf,269623
2016,Interest-Suppression-based NDN Live Video Broadcasting over Wireless LAN,"Menghan Li, Dan Pei, Xiaoping Zhang, Beichuan Zhang, Ke Xu Frontiers of Computer Science , accepted",,/wp-content/uploads/2015/11/fcs-li.pdf,fcs-li.pdf,3246743
2016,Improving the Freshness of NDN Forwarding States,"Jianxun Cao, Dan Pei, Zhelun Wu, Xiaoping Zhang, Beichuan Zhang, Lan Wang, Youjian Zhao IFIP Networking 2016 , Vienna, Austria, May 2016",,/wp-content/uploads/2015/11/1570235179.pdf,1570235179.pdf,952424
2016,Fetching Popular Data from the Nearest Replica in NDN,"Jianxun Cao, Dan Pei, Xiaoping Zhang, Beichuan Zhang, Youjian Zhao ICCCN 2016 , Hawaii, USA, August 2016",,/wp-content/uploads/2016/06/main.pdf,main.pdf,362954
2016,Fast and Cautious: Leveraging Multi-path Diversity for Transport Loss Recovery in Data Centers,"Guo Chen, Yuanwei Lu, Yuan Meng, Bojie Li, Kun Tan, Dan Pei, Peng Cheng, Layong (Larry) Luo, Yongqiang Xiong, Xiaoliang Wang, and Youjian Zhao USENIX ATC 2016 , Denver, CO, USA, June 2016 Audio",,/wp-content/uploads/2016/05/FUSO-ATC16.pdf,FUSO-ATC16.pdf,1300564
2016,FUNNEL: Assessing Software Changes in Web-based Services,"Shenglin Zhang, Ying Liu, Dan Pei, Yu Chen, Xianping Qu, Shimin Tao, Zhi Zang, Xiaowei Jing, Mei Feng Transactions on Service Computing , 2016 (A journal paper, no slides)",,https://netman.aiops.org/wp-content/uploads/2018/12/zsl期刊.pdf,zsl期刊.pdf,1028560
2016,FOCUS: Shedding Light on the High Search Response Time in the Wild,"Dapeng Liu, Youjian Zhao, Kaixin Sui, Lei Zou, Dan Pei, Qingqian Tao, Xiyang Chen, Dai Tan INFOCOM 2016 , San Francisco, CA, USA, Apr 2016",,/wp-content/uploads/2016/01/liu_infocom16_focus.pdf,liu_infocom16_focus.pdf,761332
2016,EDUM: Classroom Education Measurements via Large-scale WiFi Networks,"Mengyu Zhou, Minghua Ma, Yangkun Zhang, Kaixin Sui, Dan Pei, Thomas Moscibroda UbiComp 2016 , Heidelberg, Germany, September 2016",,/wp-content/uploads/2016/08/ubicomp16-EDUM.pdf,ubicomp16-EDUM.pdf,499049
2016,Characterizing and Improving WiFi Latency in Large-Scale Operational Networks,"Kaixin Sui, Mengyu Zhou, Dapeng Liu, Minghua Ma, Dan Pei, Youjian Zhao, Zimu Li, Thomas Moscibroda MobiSys 2016 , Singapore, June 2016",,/wp-content/uploads/2015/11/mobisys16-sui.pdf,mobisys16-sui.pdf,1921350
2015,Rewiring 2 Links is Enough: Accelerating Failure Recovery in Production Data Center Networks,"Guo Chen, Youjian Zhao, Dan Pei, and Dan Li","ICDCS , Columbus, Ohio, USA",/wp-content/uploads/2015/12/F2Tree-ICDCS15.pdf,F2Tree-ICDCS15.pdf,1099506
2015,Rapid and Robust Impact Assessment of Software Changes in Large Internet-based Services,"Shenglin Zhang, Ying Liu, Dan Pei, Yu Chen, Xianping Qu, Shimin Tao, Zhi Zang ACM CoNEXT 2015 , Heidelberg, Germany, Dec 2015",,/wp-content/uploads/2015/12/conext15-final2.pdf,conext15-final2.pdf,634549
2015,Opprentice: Towards Practical and Automatic Anomaly Detection Through Machine Learning,"Dapeng Liu, Youjian Zhao, Haowen Xu, Yongqian Sun, Dan Pei, Jiao Luo, Xiaowei Jing, Mei Feng ACM IMC 2015 , Tokyo, Japan, Oct 2015",,/wp-content/uploads/2015/11/liu_imc15_Opprentice.pdf,liu_imc15_Opprentice.pdf,2360360
2015,Narrowing Down the Debugging Space of Slow Search Response Time,"Dapeng Liu, Youjian Zhao, Dan Pei, Chengbin Quan, Qingqian Tao, Pei Wang, Xiyang Chen, Dai Tan, Xiaowei Jing, Mei Feng IPCCC 2015 , Nanjing, China, Dec 2015",,/wp-content/uploads/2015/11/liu_ipccc15_focus.pdf,liu_ipccc15_focus.pdf,887653
2015,NDN Live Video Broadcasting over Wireless LAN,"Menghan Li, Dan Pei, Xiaoping Zhang, Beichuan Zhang and Ke Xu","ICCCN , Las Vegas, Nevada, USA",/wp-content/uploads/2015/11/NLB-ICCCN2015-paper.pdf,NLB-ICCCN2015-paper.pdf,264300
2015,MIFO: Multi-Path Interdomain Forwarding.,"Ming Zhu, Dan Li, Ying Liu, Dan Pei, K.K",Ramakrishnan and Jianping Wu,/wp-content/uploads/2015/12/mingzhu_mifo.pdf,mingzhu_mifo.pdf,696666
2015,Learning Thresholds for PV Change Detection from Operators&#8217; Labels,"Dapeng Liu, Youjian Zhao, Kaixin Sui, Shiwen Cheng, Dan Pei, Chengbin Quan, Jiao Luo, Xiaowei Jing, Mei Feng IPCCC 2015 , Nanjing, China, Dec 2015",,/wp-content/uploads/2015/11/liu_ipccc15_ptl.pdf,liu_ipccc15_ptl.pdf,706543
2015,How Bad Are The Rogues&#8217; Impact on Enterprise 802.11 Network Performance?,"Kaixin Sui, Youjian Zhao, Dan Pei, and Zimu Li","INFOCOM 2015 , Hongkong, China, April 27-30, 2015",/wp-content/uploads/2015/11/rap-paper.pdf,rap-paper.pdf,1331777
2015,Alleviating Flow Interference in Data Center Networks through Fine-grained Switch Queue Management,"Guo Chen, Youjian Zhao, Dan Pei",Elsevier Computer Networks,/wp-content/uploads/2015/12/CQRD-ComputerNetworks15.pdf,CQRD-ComputerNetworks15.pdf,1917016
2014,Multi-AS Cooperative Incoming Traffic Engineering in a Transit-Edge Separate Internet,"Yaodong Zhang, Yue Wang, Dan Pei, and Jian Yuan",Elsevier Computer Networks,/wp-content/uploads/2016/03/Multi-AS-cooperative-incoming-traffic-engineering-in-a-transit-edge-separate-internet-zhang2014.pdf,Multi-AS-cooperative-incoming-traffic-engineering-in-a-transit-edge-separate-internet-zhang2014.pdf,1345371
2014,Designing Buffer Capacity of Crosspoint-Queued Switch,"Guo Chen, Dan Pei, Youjian Zhao and Yongqian Sun IFIP NPC , Taiwan, Sept",2014,/wp-content/uploads/2015/12/chen_npc14_CQ.pdf,chen_npc14_CQ.pdf,576850
2014,CQRD: A Switch-based Approach to Flow Interference in Data Center Networks,"Guo Chen, Dan Pei, and Youjian Zhao IEEE LCN , Edmonton, Canada",Sept,/wp-content/uploads/2015/12/CQRD-LCN.pdf,CQRD-LCN.pdf,3143232
2014,Application-Aware Latency Monitoring for Cloud Tenants via CloudWatch+,"Dapeng Liu, Dan Pei, Youjian Zhao CNSM 2014 , Rio de Janeiro, Brazil, Nov 2014",,/wp-content/uploads/2015/11/liu_cnsm14_cloudwatchplus.pdf,liu_cnsm14_cloudwatchplus.pdf,1072121
2014,A Measurement Study on BGP AS Path Looping (BAPL) Behavior,"Shenglin Zhang, Ying Liu, Dan Pei IEEE ICCCN , Shanghai, China, August 2014",,/wp-content/uploads/2015/12/BAPL_publish_version.pdf,BAPL_publish_version.pdf,521305
